bloque;period;camera;charact_SBOF;ID original;lat;lon;fecha act;hora act;fecha desact;hora desact;fecha desact real;hora desact real;dias de trabajo;nombre del lugar;habitat;si se quema;quema.celda;Si se caza aqui;caza.celda;caza.celda2;caza.bloque;fuego.bloque;fuego.celda;H;h;conuco.dist.m;conuco.bloque;ln.conuco.dis;buf.fragmen;ln.buf.frag;dist.comun;ln.comun
B03;P2;IS16;B0;Is16;5,564330025;-61,05638998;2015-12-07;8:24:00;2016-02-05;07:23;2016-02-05;7:23:00;60;quebrada cuaiparu;bosque;no;0;si;1;1;12;3;0;1,62;82,5;768,3;3;6,6;64;4,158883083;0,022697092;0,819651697
B03;P3;IS16;B0;Is16-n;5,5648;-61,0548;2016-02-05;7:52:00;2016-04-04;11:59;2016-04-04;11:59:00;59;Achi Paru;bosque;no;0;si;1;1;12;3;0;1,62;82,5;946,8;3;6,9;62;4,127134385;0,024342252;0,889628518
B03;P1;IS19;B0;Is19;5,574463997;-61,04971304;2015-10-07;10:45:00;2015-12-07;09:36;2015-12-07;9:36:00;61;quebrada cuaiparu;bosque;no;0;si;1;1;12;3;0;1,62;82,5;2076,6;3;7,6;76;4,33073334;0,033883695;1,22034883
B03;P2;IS19;B0;Is19;5,574463997;-61,04971304;2015-12-07;9:36:00;2016-02-05;08:46;2016-02-05;8:46:00;60;quebrada cuaiparu;bosque;no;0;si;1;1;12;3;0;1,62;82,5;2076,6;3;7,6;76;4,33073334;0,033883695;1,22034883
B03;P3;IS19;B0;Is19;5,574463997;-61,04971304;2016-02-05;8:47:00;2016-04-04;11:01;2016-04-04;11:01:00;59;quebrada cuaiparu;bosque;no;0;si;1;1;12;3;0;1,62;82,5;2076,6;3;7,6;76;4,33073334;0,033883695;1,22034883
B03;P1;IS20;s0;Is20;5,552732991;-61,05786804;2015-10-06;14:30:00;2015-12-06;15:40;2015-12-06;15:40:00;61;quebrada cuyaparu;bosque;no;0;si;1;1;12;3;0;1,62;82,5;405,2;3;6,0;72;4,276666119;0,018493442;0,614831111
B03;P2;IS20;s0;Is20;5,552732991;-61,05786804;2015-12-06;15:40:00;2016-02-04;14:05;2016-02-04;14:05:00;60;quebrada cuyaparu;bosque;no;0;si;1;1;12;3;0;1,62;82,5;405,2;3;6,0;72;4,276666119;0,018493442;0,614831111
B03;P3;IS20;B0;Is20-2n;5,5500;-61,0420;2016-02-04;15:13:00;2016-04-04;14:51;2016-04-04;14:51:00;60;Achi Paru;bosque;no;0;si;1;1;12;3;0;1,62;82,5;1378,8;3;7,2;80;4,382026635;0,034524362;1,239080137
B03;P3;LEE04;B0;Lee04-2n;5,5730;-61,0430;2016-02-05;9:36:00;2016-04-04;10:56;2016-04-04;10:56:00;59;Achi Paru;bosque;no;0;si;1;1;12;3;0;1,62;82,5;2534,3;3;7,8;62;4,127134385;0,038620422;1,351196122
B03;P2;LEE04;Bf;Lee04-n;5,5292;-61,0560;2015-12-06;12:34:00;2016-02-04;10:29;2016-02-04;10:29:00;60;Achi Paru;bosque;no;0;antes;2;0;12;3;0;1,62;82,5;246,6;3;5,5;76;4,33073334;0,031711506;1,154094492
