nr conseq;nr org;bloque;periodo;camara;charact;char2;evento;fotos;lat;long;dia;mes;ano;hora.ini;hora.fin;duracion;action;species;activity;number of animals;confidence;dieta;tamano
697;7044;B06;P3;IS10;BF;BF3;IS10_E40;6;5,4922;-61,1546;7;1;2016;21:19:59;21:20:03;00:00:04;MP;C.paca;passing;1;5;herb;mediano
698;7045;B06;P3;IS10;BF;BF3;IS10_E41;6;5,4922;-61,1546;9;1;2016;20:36:17;20:36:21;00:00:04;MP;C.paca;passing;1;5;herb;mediano
699;7046;B06;P3;IS10;BF;BF3;IS10_E42;6;5,4922;-61,1546;9;1;2016;22:09:08;22:09:12;00:00:04;MP;C.paca;passing;1;5;herb;mediano
700;7048;B06;P3;IS10;BF;BF3;IS10_E44;9;5,4922;-61,1546;10;1;2016;21:06:02;21:06:10;00:00:08;MP;C.paca;passing;1;5;herb;mediano
641;3449;B04;P2;IS01;b0;b01;IS01_E14;1;5,5622;-61,1852;21;1;2016;12:35:39;12:35:39;00:00:00;MP;D.leporina;passing;1;5;herb;mediano
702;7050;B06;P3;IS10;BF;BF3;IS10_E46;9;5,4922;-61,1546;20;1;2016;02:28:45;02:28:53;00:00:08;MP;D.kappleri;passing;1;5;insect;mediano
703;7052;B06;P3;IS10;BF;BF3;IS10_E48;6;5,4922;-61,1546;27;1;2016;14:57:19;14:57:23;00:00:04;MP;D.leporina;passing;1;5;herb;mediano
704;7047;B06;P3;IS10;BF;BF3;IS10_E43;6;5,4922;-61,1546;9;1;2016;22:22:40;22:22:44;00:00:04;MP;D.novemcinctus;passing;1;5;insect;mediano
642;3450;B04;P2;IS01;b0;b01;IS01_E15;2;5,5622;-61,1852;21;1;2016;12:56:26;12:57:17;00:00:51;MP;D.leporina;passing;1;5;herb;mediano
706;7049;B06;P3;IS10;BF;BF3;IS10_E45;15;5,4922;-61,1546;14;1;2016;15:44:28;15:44:49;00:00:21;MP;M.gouazoubira;passing;1;5;herb;grande
707;7051;B06;P3;IS10;BF;BF3;IS10_E47;33;5,4922;-61,1546;24;1;2016;22:25:39;22:26:40;00:01:01;MP;M.gouazoubira;passing;1;5;herb;grande
622;3393;B03;P2;IS20;s0;s01;IS20_E22;3;5,5527;-61,0579;10;1;2016;18:32:39;18:32:40;00:00:01;MP;D.imperfecta;passing;1;3;omniv;pequeno
709;383;B05;P3;RAS;sf;sf3;HUE;0;5,5298;-61,0947;4;2;2016;00:00:00;00:00:00;0;MP;C.paca;HUE;1;4;herb;mediano
710;385;B02;P3;RAS;S0;S0;HUE;0;5,5547;-61,1171;7;2;2016;00:00:00;00:00:00;0;MP;C.thous;HUE;1;4;omniv;mediano
623;3394;B03;P2;IS20;s0;s01;IS20_E23;3;5,5527;-61,0579;13;1;2016;23:41:18;23:41:19;00:00:01;MP;D.imperfecta;passing;1;4;omniv;pequeno
624;3398;B03;P2;IS20;s0;s01;IS20_E27;3;5,5527;-61,0579;19;1;2016;02:50:55;02:50:56;00:00:01;MP;D.imperfecta;passing;1;4;omniv;pequeno
713;369;B05;P3;RAS;bf;bf1;MAD;0;5,4946;-61,0743;2;2;2016;00:00:00;00:00:00;0;MP;D.kappleri;MAD;1;4;insect;mediano
714;372;B02;P3;RAS;s0;s01;MAD;0;5,5653;-61,1037;7;2;2016;00:00:00;00:00:00;0;MP;D.kappleri;MAD;1;4;insect;mediano
627;3311;B03;P2;IS05;B0;B0;IS05_E8;3;5,5519;-61,0519;6;1;2016;00:49:26;00:49:26;00:00:00;MP;D.kappleri;passing;1;4;insect;mediano
716;169;B05;P3;RAS;bf;bf1;OBS;0;5,4794;-61,086;2;2;2016;00:00:00;00:00:00;0;MP;D.leporina;OBS;1;4;herb;mediano
717;133;B02;P3;RAS;s0;s01;HUE;0;5,5801;-61,1068;7;2;2016;00:00:00;00:00:00;0;MP;H.hydrochaeris;HUE;1;4;herb;grande
718;323;B02;P3;RAS;S0;S0;HUE;0;5,5894;-61,1039;7;2;2016;00:00:00;00:00:00;0;MP;M.gouazoubira;HUE;1;4;herb;grande
628;3313;B03;P2;IS05;B0;B0;IS05_E10;6;5,5519;-61,0519;8;1;2016;21:13:42;21:13:47;00:00:05;MP;D.kappleri;passing;1;4;insect;mediano
629;3314;B03;P2;IS05;B0;B0;IS05_E11;6;5,5519;-61,0519;8;1;2016;21:40:01;21:40:05;00:00:04;MP;D.kappleri;passing;1;4;insect;mediano
721;362;B05;P3;RAS;b0;b01;HUE;0;5,46;-61,0781;1;2;2016;00:00:00;00:00:00;0;MP;M.gouazoubira;HUE;1;4;herb;grande
722;368;B05;P3;RAS;bF;bF2;HUE;0;5,4652;-61,0884;1;2;2016;00:00:00;00:00:00;0;MP;M.gouazoubira;HUE;1;4;herb;grande
723;131;B05;P3;RAS;s0;s01;HUE;0;5,4697;-61,0904;2;2;2016;00:00:00;00:00:00;0;MP;M.gouazoubira;HUE;1;4;herb;grande
