nr conseq;nr org;bloque;periodo;camara;charact;char2;evento;fotos;lat;long;dia;mes;ano;hora.ini;hora.fin;duracion;action;species;activity;number of animals;confidence;dieta;tamano
114;2416;B04;P1;IS22;Bf;Bf;IS22_E19;27;5,5561;-61,1851;23;10;2015;03:03:38;03:04:43;00:01:05;MP;D.kappleri;passing;1;3;insect;mediano
115;2816;B05;P1;LEE04;bf;bf1;LEE040312_E9;6;5,4800;-61,0858;7;10;2015;01:38:15;01:38:26;00:00:11;MP;D.kappleri;passing;1;4;insect;mediano
116;2761;B05;P1;LEE03;b0;b01;LEE03_E3;15;5,4889;-61,0947;4;10;2015;13:23:28;13:25:11;00:01:43;MP;D.leporina;passing;1;5;herb;mediano
117;2762;B05;P1;LEE03;b0;b01;LEE03_E4;3;5,4889;-61,0947;4;10;2015;14:20:11;14:20:12;00:00:01;MP;D.leporina;passing;1;5;herb;mediano
118;2763;B05;P1;LEE03;b0;b01;LEE03_E5;12;5,4889;-61,0947;4;10;2015;15:06:31;15:06:44;00:00:13;MP;D.leporina;passing;1;5;herb;mediano
119;2764;B05;P1;LEE03;b0;b01;LEE03_E6;3;5,4889;-61,0947;4;10;2015;15:10:40;15:10:41;00:00:01;MP;D.leporina;passing;1;5;herb;mediano
120;2765;B05;P1;LEE03;b0;b01;LEE03_E7;15;5,4889;-61,0947;6;10;2015;05:38:34;05:40:31;00:01:57;MP;D.leporina;passing;1;5;herb;mediano
121;2766;B05;P1;LEE03;b0;b01;LEE03_E8;3;5,4889;-61,0947;6;10;2015;05:43:03;05:43:03;00:00:00;MP;D.leporina;passing;1;5;herb;mediano
122;2767;B05;P1;LEE03;b0;b01;LEE03_E9;6;5,4889;-61,0947;6;10;2015;06:00:40;06:00:55;00:00:15;MP;D.leporina;sitting;1;5;herb;mediano
123;2768;B05;P1;LEE03;b0;b01;LEE03_E10;6;5,4889;-61,0947;8;10;2015;05:25:38;05:25:54;00:00:16;MP;D.leporina;passing;1;5;herb;mediano
124;2769;B05;P1;LEE03;b0;b01;LEE03_E11;3;5,4889;-61,0947;8;10;2015;05:27:45;05:27:46;00:00:01;MP;D.leporina;passing;1;5;herb;mediano
125;2770;B05;P1;LEE03;b0;b01;LEE03_E12;27;5,4889;-61,0947;8;10;2015;06:02:48;06:04:09;00:01:21;MP;D.leporina;eating;1;5;herb;mediano
126;2772;B05;P1;LEE03;b0;b01;LEE03_E14;6;5,4889;-61,0947;16;10;2015;12:17:19;12:18:08;00:00:49;MP;D.leporina;eating;1;5;herb;mediano
